# The license in the LICENSE file does not apply to this file. The data in this file is from SIMBAD (http://simbad.cds.unistra.fr/simbad/). This file is made available under the Open Database License: http://opendatacommons.org/licenses/odbl/1.0/. Any rights in individual contents of the database are licensed under the Database Contents License: http://opendatacommons.org/licenses/dbcl/1.0/.
id,otype,ra,dec,pmra,pmdec,rvz,plx,type,mag,extra

YY CMi,SB*,121.66065944625,1.9295766078200003,-11.051,8.09,null,4.2234,F3V,8.7
AI CMi,pA*,113.92146122299002,0.24944267472,8.452,-13.208,51.78,0.862,G5Iab,8.31
AZ CMi,dS*,116.03180413713999,2.4054226854899996,-19.009,-8.603,14.85,6.715,A5IV,6.47
BC CMi,LP*,118.02995740158,3.2773435915299998,49.643,-78.206,-66.91,5.7446,M4/5III,6.39
BN CMi,LP*,107.15358880212,4.17614546924,-2.927,-14.444,29.36,1.7984,M4III,7.03
BO CMi,V*,110.70150813297002,7.49439285416,30.079,-31.769,9.75,4.4607,K0,8.19
BP CMi,LP*,113.36453033705,11.01171430526,-14.418,-15.284,-18.32,2.6418,M5,6.83
BQ CMi,LP*,113.76246932555,6.194362639929999,3.139,-13.274,9.12,1.6408,M6,7.83
BR CMi,a2*,114.71243022126002,7.966567583529999,29.884,-48.829,null,5.8476,B9.5+G8III,7.15
BS CMi,LP*,119.13215415265,6.406417837760001,-4.723,-2.121,50.52,1.3016,K5,7.74
BU CMi,EB*,119.52457236925,7.213527653499999,-9.427,-11.603,34,4.0143,A0V,6.42
DD CMi,gD*,117.24258876551,0.6619427380199999,-2.679,-17.35,-14.27,12.6684,F0IV,7.43
DE CMi,dS*,122.49360463391001,1.02050349111,0.608,0.801,30.37,6.7512,A8/9V,7.7
DM CMi,EB*,118.49953799887,3.7499087892799996,-5.299,-8.9,null,2.8919,A0V,8.08
1 CMi,*,111.24241675114,11.669522913139998,-15.574,-15.478,-7.3,10.9796,A5IV,5.361
6 CMi,V*,112.44908972974333,12.006563320020556,0.622,-19.161,-16.31,5.5409,K1III,4.531
11 CMi,V*,116.56750514761,10.76825170496,-30.318,-25.278,28,10.8334,A1Vnn,5.237

α^1 CVn,PM*,194.00179795076,38.31485251695,-233.611,61.504,-0.76,30.6121,F2V,5.6
α^2 CVn,a2*,194.00693995375286,38.31837643625333,-233.776,55.035,-4.1,32.7227,A0VpSiEu,2.88,name=Cor Caroli
β CVn,**,188.43560104856124,41.35747815357195,-704.702,292.155,6.268,118.0266,G0V,4.25,name=Chara
Y CVn,C*,191.28260867319,45.44025730789,-2.968,13.063,15.3,3.2222,C-N5,4.87
BH CVn,RS*,203.69920319171,37.18241439635,85.609,-9.549,6.43,21.3273,A6m,4.98
5 CVn,*,186.00622618936,51.56225684355001,12.955,11.323,-13.6674,8.6643,G7IIIBa0.3,4.761
20 CVn,dS*,199.38558813253832,40.572606772960285,-125.614,18.386,8.62,12.7783,A9IImF2,4.698
24 CVn,PM*,203.61358305917582,49.015971971378896,-127.914,27.811,-18.3,17.5952,A4V,4.7
25 CVn A,PM*,204.36511192,36.29489794871,-93.584,23.459,null,17.7243,A7III,4.95

α Cae,PM*,70.14046880567959,-41.863751263843064,-139.843,-75.677,0.65,49.062,F2V,4.45
β Cae,PM*,70.51450957648,-37.144330240340004,42.561,212.705,29.48,34.6088,F3IV,5.05
γ^1 Cae A,PM*,76.10167558273,-35.48297537488,125.972,-42.909,9.96,17.5912,K2III-IIIb,4.574
γ^1 Cae B,PM*,76.10079583392,-35.48245978952,123.107,-45.167,null,17.5332,G8IV,8.07
γ^2 Cae,dS*,76.10898791084333,-35.705106244880284,28.361,40.338,6.4,9.7026,F2IV/V,6.31
δ Cae,*,67.70874890824,-44.95374990107,1.683,-3.139,14.2,4.7826,B2IV/V,5.059
ζ Cae,PM*,71.95657121984,-30.02037217921,28.747,92.712,6.52,6.8479,K0III,6.346
λ Cae,*,70.93446686959,-41.06478658345001,10.95,11.04,-3.24,4.4581,K3/4III,6.218
ν Cae,PM*,72.56741801176,-41.32084880286,-3.846,66.09,26.57,20.2691,F2/3V,6.055
R Cae,Mi*,70.12535329657,-38.23525811851001,-6.147,-3.422,14,1.996,M6e,6.7
